agent,seed,reward,distance,wall,success
beta:0.0_alpha:0.0,1,-36.41415290832519,-0.2790780276060104,True,0.0
beta:0.0_alpha:0.02,1,-36.64823341369629,-0.29169905185699463,True,0.0
beta:0.0_alpha:0.0,2,-45.76484680175781,-0.2870220273733139,True,0.0
beta:0.0_alpha:0.02,2,-30.076250076293945,-0.18517667353153228,True,0.3000000022351742
beta:0.0_alpha:0.0,3,-41.59022407531738,-0.304873925447464,True,0.0
beta:0.0_alpha:0.02,3,-46.88179664611816,-0.33816744685173034,True,0.06500000171363354
beta:0.0_alpha:0.0,4,-49.34365653991699,-0.3081521511077881,True,0.0
beta:0.0_alpha:0.02,4,-36.878658294677734,-0.28786973655223846,True,0.0
beta:0.0_alpha:0.0,5,-38.19081115722656,-0.31778348088264463,True,0.0
beta:0.0_alpha:0.02,5,-43.283171844482425,-0.30846552550792694,True,0.005000000074505806
beta:0.0_alpha:0.0,1,-8.256755447387695,-0.09559415280818939,False,0.9949999988079071
beta:0.0_alpha:0.02,1,-9.408766078948975,-0.09296210333704949,False,0.9250000059604645
beta:0.0_alpha:0.0,2,-20.0632080078125,-0.09613610953092575,False,1.0
beta:0.0_alpha:0.02,2,-7.208095979690552,-0.0899686299264431,False,0.9949999988079071
beta:0.0_alpha:0.0,3,-6.727158880233764,-0.0887556366622448,False,1.0
beta:0.0_alpha:0.02,3,-7.956822919845581,-0.0998762384057045,False,0.9699999988079071
beta:0.0_alpha:0.0,4,-8.507385635375977,-0.08282208517193794,False,1.0
beta:0.0_alpha:0.02,4,-10.064990043640137,-0.09884638860821723,False,0.9550000011920929
beta:0.0_alpha:0.0,5,-8.122752380371093,-0.0942872330546379,False,1.0
beta:0.0_alpha:0.02,5,-8.340371036529541,-0.08748269677162171,False,0.9899999976158143
beta:160.0_alpha:0.01,1,-30.20745258331299,-0.18046026974916457,True,0.4300000086426735
beta:160.0_alpha:0.01,2,-16.659096240997314,-0.10153912380337715,True,0.9700000047683716
beta:160.0_alpha:0.01,3,-43.31990776062012,-0.45029994249343874,True,0.015000000223517418
beta:160.0_alpha:0.01,4,-44.58134841918945,-0.2835614621639252,True,0.005000000074505806
beta:160.0_alpha:0.01,5,-20.34549732208252,-0.13804940953850747,True,0.8550000190734863
beta:160.0_alpha:0.01,6,-31.26189022064209,-0.2351093664765358,True,0.3200000051409006
beta:160.0_alpha:0.01,7,-35.04464836120606,-0.2379275307059288,True,0.2550000034272671
beta:160.0_alpha:0.01,8,-43.71429595947266,-0.28565015494823454,True,0.0
beta:160.0_alpha:0.01,9,-32.948086166381835,-0.20280100405216217,True,0.26500000432133675
beta:160.0_alpha:0.01,10,-35.68575801849365,-0.23982371240854264,True,0.5500000089406967
beta:160.0_alpha:0.01,11,-25.655644416809082,-0.14793638959527017,True,0.800000011920929
beta:160.0_alpha:0.01,12,-25.838863945007326,-0.1564723402261734,True,0.5300000101327896
beta:160.0_alpha:0.01,13,-35.85428085327148,-0.23601790517568588,True,0.23500000387430192
beta:160.0_alpha:0.01,14,-38.012246704101564,-0.31643953621387483,True,0.04500000067055225
beta:160.0_alpha:0.01,15,-39.445307922363284,-0.31837042719125747,True,0.4300000101327896
beta:160.0_alpha:0.01,16,-34.55684337615967,-0.24537054747343062,True,0.5200000107288361
beta:160.0_alpha:0.01,17,-36.98445816040039,-0.2502290889620781,True,0.19000000171363354
beta:160.0_alpha:0.01,18,-23.688334655761718,-0.13980631977319719,True,0.8150000154972077
beta:160.0_alpha:0.01,19,-46.246355056762695,-0.2985038965940475,True,0.0
beta:160.0_alpha:0.01,20,-47.965196990966795,-0.43267457485198973,True,0.020000000298023225
beta:160.0_alpha:0.01,1,-12.958656311035156,-0.11162077188491822,False,0.925000011920929
beta:160.0_alpha:0.01,2,-10.495276641845702,-0.09894615560770034,False,0.9850000023841858
beta:160.0_alpha:0.01,3,-10.240939044952393,-0.11026003882288933,False,0.9350000143051147
beta:160.0_alpha:0.01,4,-10.853691387176514,-0.09921490401029587,False,0.9200000166893005
beta:160.0_alpha:0.01,5,-11.502912521362305,-0.1040686123073101,False,0.975
beta:160.0_alpha:0.01,6,-8.710830402374267,-0.09690408408641815,False,0.9949999988079071
beta:160.0_alpha:0.01,7,-11.815966129302979,-0.11045875027775764,False,0.9300000131130218
beta:160.0_alpha:0.01,8,-10.33721399307251,-0.09880616813898087,False,0.9350000023841858
beta:160.0_alpha:0.01,9,-11.924539756774902,-0.11611857414245605,False,0.9200000166893005
beta:160.0_alpha:0.01,10,-9.94370241165161,-0.0993048295378685,False,0.9899999976158143
beta:160.0_alpha:0.01,11,-12.342688655853271,-0.1082645483314991,False,0.9650000035762787
beta:160.0_alpha:0.01,12,-11.68179006576538,-0.09925064817070961,False,0.8700000226497651
beta:160.0_alpha:0.01,13,-11.908473205566406,-0.12155286520719528,False,0.9050000071525574
beta:160.0_alpha:0.01,14,-9.893320798873901,-0.11103795915842056,False,0.9050000131130218
beta:160.0_alpha:0.01,15,-11.436524581909179,-0.1118316687643528,False,0.9300000131130218
beta:160.0_alpha:0.01,16,-11.535431098937988,-0.10152630731463433,False,0.9800000011920929
beta:160.0_alpha:0.01,17,-9.305422401428222,-0.09462316185235978,False,0.9600000023841858
beta:160.0_alpha:0.01,18,-10.063478660583495,-0.1068604901432991,False,0.975
beta:160.0_alpha:0.01,19,-10.032648849487305,-0.09532833322882653,False,0.9550000011920929
beta:160.0_alpha:0.01,20,-7.9000646591186525,-0.09579002261161804,False,0.9800000011920929
beta:0.0_alpha:0.0,6,-38.08095779418945,-0.28420180082321167,True,0.0
beta:0.0_alpha:0.02,6,-36.95692825317383,-0.2915020972490311,True,0.0
beta:0.0_alpha:0.0,7,-41.75352897644043,-0.28601711094379423,True,0.0
beta:0.0_alpha:0.02,7,-36.68385391235351,-0.28200153410434725,True,0.0
beta:0.0_alpha:0.0,8,-38.764573669433595,-0.2869083970785141,True,0.0
beta:0.0_alpha:0.02,8,-38.85518455505371,-0.28925457000732424,True,0.0
beta:0.0_alpha:0.0,9,-40.67716407775879,-0.2860997200012207,True,0.0
beta:0.0_alpha:0.02,9,-37.9389705657959,-0.3005061149597168,True,0.0
beta:0.0_alpha:0.0,10,-36.69768104553223,-0.2790340185165405,True,0.0
beta:0.0_alpha:0.02,10,-37.70357666015625,-0.2909624993801117,True,0.0
beta:0.0_alpha:0.0,11,-36.89538764953613,-0.29967035353183746,True,0.0
beta:0.0_alpha:0.02,11,-37.055395889282224,-0.2862235814332962,True,0.0
beta:0.0_alpha:0.0,12,-37.562753677368164,-0.282157164812088,True,0.0
beta:0.0_alpha:0.02,12,-37.12331771850586,-0.29838387072086336,True,0.005000000074505806
beta:0.0_alpha:0.0,13,-44.990211486816406,-0.30601913034915923,True,0.0
beta:0.0_alpha:0.02,13,-43.867845153808595,-0.3924437403678894,True,0.0
beta:0.0_alpha:0.02,14,-36.8389274597168,-0.2933284163475037,True,0.0
beta:0.0_alpha:0.0,15,-49.03701324462891,-0.48151670694351195,True,0.0600000012665987
beta:0.0_alpha:0.02,15,-41.75663681030274,-0.33280415236949923,True,0.1400000024586916
beta:0.0_alpha:0.0,16,-45.358955001831056,-0.32566188275814056,True,0.0
beta:0.0_alpha:0.02,16,-36.975792694091794,-0.28531365394592284,True,0.0
beta:0.0_alpha:0.0,17,-38.40750160217285,-0.28464571833610536,True,0.0
beta:0.0_alpha:0.02,17,-39.45012512207031,-0.2973818153142929,True,0.0
beta:0.0_alpha:0.0,18,-46.579720687866214,-0.2822344094514847,True,0.0
beta:0.0_alpha:0.02,18,-40.86344451904297,-0.31912916600704194,True,0.0
beta:0.0_alpha:0.0,19,-38.31480102539062,-0.2849916398525238,True,0.0
beta:0.0_alpha:0.02,19,-37.388919830322266,-0.28341570496559143,True,0.0
beta:0.0_alpha:0.0,20,-50.15773582458496,-0.30519416332244875,True,0.03500000052154064
beta:0.0_alpha:0.02,20,-42.91051902770996,-0.3325015515089035,True,0.08000000230967999
beta:0.0_alpha:0.0,6,-8.15037136077881,-0.09504541084170341,False,1.0
beta:0.0_alpha:0.02,6,-9.535647010803222,-0.0941688671708107,False,0.9750000059604644
beta:0.0_alpha:0.0,7,-7.093723297119141,-0.09161841943860054,False,1.0
beta:0.0_alpha:0.02,7,-8.624272346496582,-0.08352213054895401,False,0.9949999988079071
beta:0.0_alpha:0.02,8,-19.151104736328126,-0.1213432639837265,False,0.6700000107288361
beta:0.0_alpha:0.0,9,-7.244508123397827,-0.09769731983542443,False,1.0
beta:0.0_alpha:0.02,9,-9.501653957366944,-0.09206045418977737,False,0.9200000047683716
beta:0.0_alpha:0.0,10,-8.265849208831787,-0.09581028893589974,False,0.9949999988079071
beta:0.0_alpha:0.02,10,-12.471106052398682,-0.10313009098172188,False,0.8900000214576721
beta:0.0_alpha:0.0,11,-8.062775802612304,-0.09311254248023033,False,1.0
beta:0.0_alpha:0.02,11,-10.597218799591065,-0.10324535518884659,False,0.9449999988079071
beta:0.0_alpha:0.0,12,-8.273445415496827,-0.09563176110386848,False,1.0
beta:0.0_alpha:0.02,12,-8.800155544281006,-0.09079988077282905,False,0.9699999988079071
beta:0.0_alpha:0.0,13,-6.653342771530151,-0.09012743383646012,False,1.0
beta:0.0_alpha:0.02,13,-6.5425718307495115,-0.08875303491950035,False,0.975
beta:0.0_alpha:0.02,14,-10.225363063812257,-0.09498837292194366,False,0.8800000131130219
beta:0.0_alpha:0.0,15,-9.526753997802734,-0.09836424067616463,False,0.9899999976158143
beta:0.0_alpha:0.02,15,-8.86879096031189,-0.09516517147421837,False,0.9800000011920929
